series,series_name,series_prefix,key,wave,part,wave_label,tag,slug,country,country_value,country_match,renamed_variables,value_labels_dropped_on_temporal_columns,n_respondents,n_variables,n_variables_with_data,n_respondents_pooled_release,n_countries_pooled_release,is_country_file,fieldwork_years_series,fieldwork_tunisia,fieldwork_source,language,source_format,has_numeric_codes,has_value_labels,has_question_text,source_file,source_sha256,csv_answers_read_as_missing,path,notes
world-values-survey,World Values Survey,wvs,wvs-w07,7,,Wave 7,w07,wave-07,Tunisia,788,equals,{},[],1208,397,397,1208,1,True,2017-2022,2019-04-26 to 2019-05-20,derived from the J_INTDATE variable in the data file,"English (translated instrument; variable labels only, no value labels)",xlsx-headers,True,False,True,WVS_Wave_7_Tunisia_Excel_v5.0.xlsx,79d26875a0281f8408a9927a1c66a8abb946f346a6427419ee6da1831c40edee,{},data/world-values-survey/wave-07,"Excel edition, data file version 5.0. Country file: Tunisia only, not a subset of a pooled release."
afrobarometer,Afrobarometer,afro,afro-w06,6,,Round 6,w06,round-06,Tunisia,TUN,startswith,{},"['STRTIME', 'ENDTIME']",1200,334,334,1200,1200,False,2014-2015,2015-04-14 to 2015-05-09,derived from the DATEINTR variable in the data file,English (translated instrument and labels),sav,True,True,True,afrobarometer_tun_r6_en.sav,afeca359e61f72d1120561b91c16efa195def906a8eff7e82e2f1ab92bf9be3f,"{'Q53A': ['None'], 'Q53B': ['None'], 'Q53C': ['None'], 'Q53D': ['None'], 'Q53E': ['None'], 'Q53F': ['None'], 'Q53G': ['None'], 'Q53H': ['None'], 'Q53I': ['None'], 'Q53J': ['None'], 'Q81A': ['None'], 'Q98A': ['     None'], 'Q108': ['None']}",data/afrobarometer/round-06,"Round 6 release, English."
afrobarometer,Afrobarometer,afro,afro-w07,7,,Round 7,w07,round-07,Tunisia,TUN,startswith,{},"['STRTIME', 'ENDTIME']",1199,339,339,1199,1199,False,2016-2018,2018-03-31 to 2018-05-07,derived from the DATEINTR variable in the data file,English (translated instrument and labels),sav,True,True,True,afrobarometer_tun_r7_en.sav,2633bdc01c31e17e05318c12aa1624b0516a4b959df0d299415a9d4394603130,"{'Q44A': ['None'], 'Q44B': ['None'], 'Q44C': ['None'], 'Q44D': ['None'], 'Q44E': ['None'], 'Q44F': ['None'], 'Q44G': ['None'], 'Q44H': ['None'], 'Q44I': ['None'], 'Q44J': ['None'], 'Q108': ['None']}",data/afrobarometer/round-07,"Round 7 release, English."
afrobarometer,Afrobarometer,afro,afro-w08,8,,Round 8,w08,round-08,Tunisia,TUN,startswith,{},[],1200,377,377,1200,1200,False,2019-2021,2020-02-24 to 2020-03-18,derived from the DATEINTR variable in the data file,English (translated instrument and labels),sav,True,True,True,afrobarometer_tun_r8_en.sav,7b6fdc7c77d46276f258b5d182bf0338bc29421ecda336e0e5a6acd813bd87ce,"{'Q42A': ['None'], 'Q42B': ['None'], 'Q42C': ['None'], 'Q42D': ['None'], 'Q42E': ['None'], 'Q42F': ['None'], 'Q42G': ['None'], 'Q42I': ['None'], 'Q69B': ['None'], 'Q98A': ['None'], 'Q108': ['None']}",data/afrobarometer/round-08,"Round 8 release of 31 March 2021, English."
afrobarometer,Afrobarometer,afro,afro-w09,9,,Round 9,w09,round-09,Tunisia,TUN,startswith,{},['STRTIME'],1200,388,380,1200,1200,False,2021-2023,2022-02-21 to 2022-03-17,derived from the DATEINTR variable in the data file,English (translated instrument and labels),sav,True,True,True,afrobarometer_tun_r9_en.sav,f5227f033ebfb0bdeab9a4467a5b216bade7b48efcf09d8bc33674554f9e4b4d,{},data/afrobarometer/round-09,"Round 9 release of 1 March 2023, English."
afrobarometer,Afrobarometer,afro,afro-w10,10,,Round 10,w10,round-10,Tunisia,TUN,startswith,{'LOCATION.LEVEL.1': 'LOCATION_LEVEL_1'},[],1200,372,363,1200,1200,False,2024-2025,2024-02-25 to 2024-03-11,derived from the DATEINTR variable in the data file,English (translated instrument and labels),sav,True,True,True,afrobarometer_tun_r10_en.sav,2eb61c1335c25d9f513ee5c807029f7cde097455df181b2ad8a26911d2af3d71,"{'Q38A': ['None'], 'Q38B': ['None'], 'Q38C': ['None'], 'Q38E': ['None'], 'Q38F': ['None'], 'Q38G': ['None'], 'Q38I': ['None'], 'Q38J': ['None'], 'Q38K': ['None'], 'Q66': ['None']}",data/afrobarometer/round-10,"Round 10 release of 2 May 2024, updated 13 February 2025, English."
arab-opinion-index,Arab Opinion Index,aoi,aoi-2011,2011,,2011,2011,2011,Tunisia,2,equals,{},[],1229,196,148,14605,11,False,2011,,not recorded in the data file,English (translated instrument and labels),sav,True,True,True,aoi-2011.sav,de2327d378deab51980df14fe53a6608c44c25caed3c3219bec5cc0dcf0a300d,{'Q101_8': ['N/A']},data/arab-opinion-index/2011,
arab-opinion-index,Arab Opinion Index,aoi,aoi-2012-2013,2012,,2012/2013,2012-2013,2012-2013,Tunisia,2,equals,{},[],1500,546,329,19421,14,False,2012-2013,,not recorded in the data file,English (translated instrument and labels),sav,True,True,True,aoi-2012-2013.sav,7e3d3656bf05a80c4ee0ab5676176ba8cc10c6551aedd07e899c9a288e638473,{},data/arab-opinion-index/2012-2013,
arab-opinion-index,Arab Opinion Index,aoi,aoi-2014,2014,,2014,2014,2014,Tunisia,2,equals,{},[],1498,555,424,26466,15,False,2014,,not recorded in the data file,English (translated instrument and labels),sav,True,True,True,aoi-2014.sav,f1ef0b1f18ea7eeb99fe990a6d8cd082bf55e46e628b3f23456c838d0dfedc8b,{},data/arab-opinion-index/2014,
arab-opinion-index,Arab Opinion Index,aoi,aoi-2015,2015,,2015,2015,2015,Tunisia,2,equals,{},[],1497,441,358,18311,12,False,2015,,not recorded in the data file,English (translated instrument and labels),sav,True,True,True,aoi-2015.sav,7847d562655cf7b4dff8f7a7c3fbac69a517b5e643810596ae1357152a71dedb,{},data/arab-opinion-index/2015,
arab-opinion-index,Arab Opinion Index,aoi,aoi-2016,2016,,2016,2016,2016,Tunisia,2,equals,{},[],1499,479,412,18311,12,False,2016,,not recorded in the data file,English (translated instrument and labels),sav,True,True,True,aoi-2016.sav,12e4e0976c83207281f15d289a61df311be5f9ad7fd711d5e7438fd6ffc776f3,{},data/arab-opinion-index/2016,
arab-opinion-index,Arab Opinion Index,aoi,aoi-2017-2018,2017,,2017/2018,2017-2018,2017-2018,Tunisia,2,equals,{},[],1500,372,306,18830,11,False,2017-2018,,not recorded in the data file,English (translated instrument and labels),sav,True,True,True,aoi-2017-2018.sav,b6aca2f9782730cbd56f55900b6679fb9a5712be97d71d21da05434f927d19dc,{},data/arab-opinion-index/2017-2018,
arab-opinion-index,Arab Opinion Index,aoi,aoi-2019-2020,2019,,2019/2020,2019-2020,2019-2020,Tunisia,2,equals,"{'q2020.1': 'q2020_1', 'q2020.WHAT': 'q2020_WHAT', 'q2020.2': 'q2020_2', 'q2020.WHERE': 'q2020_WHERE', 'q2020.3': 'q2020_3', 'q2020.4': 'q2020_4', 'q2020.5': 'q2020_5', 'QIR2020.1_1': 'QIR2020_1_1', 'QIR2020.1_2': 'QIR2020_1_2', 'QIR2020.1_3': 'QIR2020_1_3', 'QIR2020.1_4': 'QIR2020_1_4', 'QIR2020.1_5': 'QIR2020_1_5', 'QIR2020.1_6': 'QIR2020_1_6', 'QLE2020.1_1': 'QLE2020_1_1', 'QLE2020.1_2': 'QLE2020_1_2', 'QLE2020.1_3': 'QLE2020_1_3', 'QLE2020.1_4': 'QLE2020_1_4', 'QLE2020.1_5': 'QLE2020_1_5', 'QLE2020.1_6': 'QLE2020_1_6', 'QLE2020.1_7': 'QLE2020_1_7', 'QLE2020.1_8': 'QLE2020_1_8', 'QLE2020.1_9': 'QLE2020_1_9', 'QLE2020.1_10': 'QLE2020_1_10', 'QLE2020.1_11': 'QLE2020_1_11', 'QLE2020.1_12': 'QLE2020_1_12', 'QLE2020.1_13': 'QLE2020_1_13', 'QLE2020.1_14': 'QLE2020_1_14', 'QLE2020.1_15': 'QLE2020_1_15', 'Q2020.6': 'Q2020_6', 'Q2020.10_1': 'Q2020_10_1', 'Q2020.10_2': 'Q2020_10_2', 'Q2020.10_3': 'Q2020_10_3', 'Q2020.7_1': 'Q2020_7_1', 'Q2020.7_2': 'Q2020_7_2', 'Q2020.8': 'Q2020_8', 'Q2020.9': 'Q2020_9', 'Q2020.11_1': 'Q2020_11_1', 'Q2020.11_2': 'Q2020_11_2', 'Q2020.12': 'Q2020_12', 'V2020.12': 'V2020_12', 'Q2020.13': 'Q2020_13', 'V2020.13': 'V2020_13', 'Q2020.14': 'Q2020_14', 'Q2020.15': 'Q2020_15', 'qALG2020.1': 'qALG2020_1', 'qALG2020.2': 'qALG2020_2', 'qALG2020.3': 'qALG2020_3', 'qALG2020.4': 'qALG2020_4', 'q2020.16': 'q2020_16', 'SUD2020.1': 'SUD2020_1', 'SUD2020.2': 'SUD2020_2', 'SUD2020.3': 'SUD2020_3', 'q2020.18.1': 'q2020_18_1', 'q2020.18.2': 'q2020_18_2', 'q2020.18.3': 'q2020_18_3', 'Q2020.17': 'Q2020_17', 'Q2020.56_1': 'Q2020_56_1', 'Q2020.56_2': 'Q2020_56_2', 'Q2020.56_3': 'Q2020_56_3', 'Q2020.56_4': 'Q2020_56_4', 'Q2020.56_5': 'Q2020_56_5', 'Q2020.56_6': 'Q2020_56_6', 'Q2020.57_1': 'Q2020_57_1', 'Q2020.57_2': 'Q2020_57_2', 'Q2020.58_1': 'Q2020_58_1', 'Q2020.58_2': 'Q2020_58_2', 'Q2020.58_3': 'Q2020_58_3', 'Q2020.58_4': 'Q2020_58_4', 'Q2020.59_1': 'Q2020_59_1', 'Q2020.59_2': 'Q2020_59_2', 'Q2020.60': 'Q2020_60', 'Q2020.61': 'Q2020_61', 'QQ2020.62_1': 'QQ2020_62_1', 'Q2020.62_2': 'Q2020_62_2', 'q2020.64': 'q2020_64', 'q2020.65': 'q2020_65', 'q2020.66_1': 'q2020_66_1', 'q2020.66_2': 'q2020_66_2', 'q2020.67_1': 'q2020_67_1', 'q2020.67_2': 'q2020_67_2', 'q2020.68': 'q2020_68', 'q2020.69': 'q2020_69', 'q2020.70': 'q2020_70', 'Q2020.19': 'Q2020_19', 'Q2020.20': 'Q2020_20', 'Q2020.21': 'Q2020_21', 'Q2020.22': 'Q2020_22', 'Q2020.23': 'Q2020_23', 'Q2020.23_GOOD': 'Q2020_23_GOOD', 'Q2020.23_BAD': 'Q2020_23_BAD', 'Q2020.24': 'Q2020_24', 'Q2020.25': 'Q2020_25', 'V2020.25': 'V2020_25', 'Q2020.26': 'Q2020_26', 'V2020.26': 'V2020_26', 'Q2020.28': 'Q2020_28', 'Q2020.29': 'Q2020_29', 'Q2020.30_DATE_1': 'Q2020_30_DATE_1', 'Q2020.30_DATE_2': 'Q2020_30_DATE_2', 'Q2020.30_DATE_3': 'Q2020_30_DATE_3', 'Q2020.30_WHERE_1': 'Q2020_30_WHERE_1', 'Q2020.30_WHERE_2': 'Q2020_30_WHERE_2', 'Q2020.30_WHERE_3': 'Q2020_30_WHERE_3', 'Q2020.30_GOV_1': 'Q2020_30_GOV_1', 'Q2020.30_GOV_2': 'Q2020_30_GOV_2', 'Q2020.30_GOV_3': 'Q2020_30_GOV_3', 'Q2020.30_NAME_1': 'Q2020_30_NAME_1', 'Q2020.30_NAME_2': 'Q2020_30_NAME_2', 'Q2020.30_NAME_3': 'Q2020_30_NAME_3', 'Q2020.31_1': 'Q2020_31_1', 'Q2020.31_2': 'Q2020_31_2', 'Q2020.31_3': 'Q2020_31_3', 'Q2020.31_4': 'Q2020_31_4', 'Q2020.31_5': 'Q2020_31_5', 'Q2020.31_6': 'Q2020_31_6', 'Q2020.31_7': 'Q2020_31_7', 'Q2020.31_8': 'Q2020_31_8', 'Q2020.31_9': 'Q2020_31_9', 'Q2020.31_10': 'Q2020_31_10', 'Q2020.31_11': 'Q2020_31_11', 'Q2020.31_12': 'Q2020_31_12', 'Q2020.32': 'Q2020_32', 'Q2020.33_1': 'Q2020_33_1', 'Q2020.33_2': 'Q2020_33_2', 'Q2020.33_3': 'Q2020_33_3', 'Q2020.33_4': 'Q2020_33_4', 'Q2020.33_5': 'Q2020_33_5', 'Q2020.33_6': 'Q2020_33_6', 'Q2020.33_7': 'Q2020_33_7', 'Q2020.33_8': 'Q2020_33_8', 'Q2020.34_1': 'Q2020_34_1', 'Q2020.34_2': 'Q2020_34_2', 'Q2020.35_1': 'Q2020_35_1', 'Q2020.35_2': 'Q2020_35_2', 'Q2020.36_1': 'Q2020_36_1', 'Q2020.36_2': 'Q2020_36_2', 'Q2020.36_3': 'Q2020_36_3', 'Q2020.36_4': 'Q2020_36_4', 'Q2020.36_5': 'Q2020_36_5', 'Q2020.36_6': 'Q2020_36_6', 'Q2020.36_7': 'Q2020_36_7', 'Q2020.37': 'Q2020_37', 'v2020.37': 'v2020_37', 'q2020.38': 'q2020_38', 'v2020.38': 'v2020_38', 'q2020.39_1': 'q2020_39_1', 'q2020.39_2': 'q2020_39_2', 'q2020.40_1': 'q2020_40_1', 'q2020.40_2': 'q2020_40_2', 'q2020.41_1': 'q2020_41_1', 'q2020.41_2': 'q2020_41_2', 'q2020.42_1': 'q2020_42_1', 'q2020.42_2': 'q2020_42_2', 'q2020.43': 'q2020_43', 'q2020.44': 'q2020_44', 'q2020.45_1': 'q2020_45_1', 'q2020.45_2': 'q2020_45_2', 'q2020.46': 'q2020_46', 'q2020.47': 'q2020_47', 'q2020.48': 'q2020_48', 'q2020.49': 'q2020_49', 'q2020.50': 'q2020_50', 'q2020.51_1': 'q2020_51_1', 'q2020.51_2': 'q2020_51_2', 'q2020.51_3': 'q2020_51_3', 'q2020.51_4': 'q2020_51_4', 'q2020.51_5': 'q2020_51_5', 'q2020.51_6': 'q2020_51_6', 'q2020.51_7': 'q2020_51_7', 'q2020.51_8': 'q2020_51_8', 'q2020.52': 'q2020_52', 'q2020.53': 'q2020_53', 'v2020.53': 'v2020_53', 'v2020.54_1': 'v2020_54_1', 'v2020.54_2': 'v2020_54_2', 'v2020.54_3': 'v2020_54_3', 'v2020.54_4': 'v2020_54_4', 'v2020.55': 'v2020_55', 'Q2020.71_1': 'Q2020_71_1', 'Q2020.71_2': 'Q2020_71_2', 'Q2020.71_3': 'Q2020_71_3', 'Q2020.71_4': 'Q2020_71_4', 'Q2020.71_5': 'Q2020_71_5', 'Q2020.71_6': 'Q2020_71_6', 'Q2020.71_7': 'Q2020_71_7', 'Q2020.71_8': 'Q2020_71_8', 'Q2020.71_9': 'Q2020_71_9', 'Q2020.71_10': 'Q2020_71_10', 'q2020.63': 'q2020_63', 'q2020.63_yes': 'q2020_63_yes', 'q2020.63_No': 'q2020_63_No', 'q2020.72': 'q2020_72', 'q2020.73_1': 'q2020_73_1', 'q2020.73_2': 'q2020_73_2', 'q2020.73_3': 'q2020_73_3', 'q2020.73_4': 'q2020_73_4'}",[],2400,509,335,27994,13,False,2019-2020,,not recorded in the data file,English (translated instrument and labels),sav,True,True,True,aoi-2019-2020.sav,ca06a2c847aaaccdbac7ad26fcc364afec5e641c9e1b01b54fad6bf1b5c6f456,{},data/arab-opinion-index/2019-2020,
arab-opinion-index,Arab Opinion Index,aoi,aoi-2022,2022,,2022,2022,2022,Tunisia,2,equals,{},[],2400,651,546,33690,14,False,2022,,not recorded in the data file,English (translated instrument and labels),sav,True,True,True,aoi-2022.sav,fad1080c4e392f69cce1078b7acd41c44ed3047be458cbac4633b0f025971222,{},data/arab-opinion-index/2022,
arab-opinion-index,Arab Opinion Index,aoi,aoi-2024-2025,2024,,2024/2025,2024-2025,2024-2025,Tunisia,2,equals,{},[],3245,1251,616,40130,15,False,2024-2025,,not recorded in the data file,English (translated instrument and labels),sav,True,True,True,aoi-2024-2025.sav,8ebdc69259fbafce8bc845edc56ce30d77ed3889609c66b3c7cf2316052b6b1f,"{'q2025_43_1': ['None'], 'q2025_44_1': ['None']}",data/arab-opinion-index/2024-2025,
