position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,min,max
96,q5022,,str,1200,0,4,,"[""Don't know (Do not read)"", ""I have never participated"", ""More than once"", ""Once""]",,
97,q503,,str,1200,0,26,,"[""Afek Tounes"", ""CPR"", ""Courant Démocratique"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Harak Chaab Mowatinin"", ""Haraket Chaab"", ""Haraket El Tounsi"", ""Haraket Wafa"", ""Jabha"", ""Jomhouri"", ""Massar"", ""Moubedra"", ""Nahdha"", ""Nidaa Tounes"", ""No party"", ""Party Dostouri Horr"", ""Party Mohsen Marzouk"", ""RCD"", ""Rahma"", ""Sawt Falahin"", ""Tahrir"", ""Takatol"", ""Tayar Chaabi"", ""Tayar Mahaba"", ""UPL""]",,
98,q503sy,,str,0,1200,0,,,,
99,q511,,str,1200,0,14,,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""Complete democracy"", ""Complete dictatorship"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not concerned/not interested""]",,
100,q511leb,,str,0,1200,0,,,,
101,q512,,str,1200,0,14,,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""Completely appropriate"", ""Completely inappropriate"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not concerned/not interested""]",,
102,q512leb,,str,0,1200,0,,,,
103,q513,,str,1200,0,14,,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""Completely satisfied"", ""Completely unsatisfied"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not concerned/not interested""]",,
104,q513leb,,str,0,1200,0,,,,
105,q514,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
106,q515a1,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Government does not waste any public money"", ""Government narrows the gap between the rich and the poor"", ""People are free to express their political views openly"", ""People choose the government leaders in free and fair elections""]",,
107,q515a2,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Government ensures job opportunities for all"", ""Government ensures law and order"", ""Media is free to criticize the things government does"", ""Multiple parties compete fairly in the election""]",,
108,q515a3,,str,1200,0,6,,"[""Basic necessities, like food, clothes and shelter, are provided for all"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Government provides people with quality public services"", ""People are free to organize political groups"", ""The legislature has oversight over the government""]",,
109,q5161,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
110,q5162,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
111,q5163,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
112,q5164,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
113,q5165,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
114,q516a,,str,1200,0,5,,"[""Decline to answer (Do not read)"", ""Democracy is always preferable to any other kind of government"", ""Don't know (Do not read)"", ""For people like me, it does not matter what kind of government we have"", ""Under some circumstances, a non-democratic government can be preferable""]",,
115,q5181,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not suitable at all"", ""Somewhat suitable"", ""Suitable"", ""Very suitable""]",,
116,q5182,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not suitable at all"", ""Somewhat suitable"", ""Suitable"", ""Very suitable""]",,
117,q5183,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not suitable at all"", ""Somewhat suitable"", ""Suitable"", ""Very suitable""]",,
118,q5184,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not suitable at all"", ""Somewhat suitable"", ""Suitable"", ""Very suitable""]",,
119,q5185,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not suitable at all"", ""Somewhat suitable"", ""Suitable"", ""Very suitable""]",,
120,q5186,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not suitable at all"", ""Somewhat suitable"", ""Suitable"", ""Very suitable""]",,
121,q5211,,str,1200,0,5,,"[""Don't know (Do not read)"", ""Guaranteed to a great extent"", ""Guaranteed to a limited extent"", ""Guaranteed to a medium extent"", ""Not guaranteed""]",,
122,q5212,,str,1200,0,5,,"[""Don't know (Do not read)"", ""Guaranteed to a great extent"", ""Guaranteed to a limited extent"", ""Guaranteed to a medium extent"", ""Not guaranteed""]",,
123,q5213,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Guaranteed to a great extent"", ""Guaranteed to a limited extent"", ""Guaranteed to a medium extent"", ""Not guaranteed""]",,
124,q5214,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Guaranteed to a great extent"", ""Guaranteed to a limited extent"", ""Guaranteed to a medium extent"", ""Not guaranteed""]",,
125,q5215,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Guaranteed to a great extent"", ""Guaranteed to a limited extent"", ""Guaranteed to a medium extent"", ""Not guaranteed""]",,
126,q523a,,str,1200,0,4,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""No"", ""Yes""]",,
127,q523,,str,1200,0,6,,"[""Completely justified"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Not justifiable at all"", ""Not very justified"", ""Somewhat justified""]",,
128,q6011,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
129,q6012,,str,1200,0,5,,"[""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
130,q6013,,str,1200,0,5,,"[""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
131,q6014,,str,1200,0,5,,"[""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
132,q6018,,str,1200,0,5,,"[""Decline to answer (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
133,q60118,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
134,q6021,,str,1200,0,6,,"[""Don't know (Do not read)"", ""Somewhat dislike"", ""Somewhat like"", ""Strongly dislike"", ""Strongly like"", ""Would not care""]",,
135,q6022,,str,1200,0,6,,"[""Don't know (Do not read)"", ""Somewhat dislike"", ""Somewhat like"", ""Strongly dislike"", ""Strongly like"", ""Would not care""]",,
136,q6023,,str,1200,0,6,,"[""Don't know (Do not read)"", ""Somewhat dislike"", ""Somewhat like"", ""Strongly dislike"", ""Strongly like"", ""Would not care""]",,
137,q6024,,str,1200,0,6,,"[""Don't know (Do not read)"", ""Somewhat dislike"", ""Somewhat like"", ""Strongly dislike"", ""Strongly like"", ""Would not care""]",,
138,q6041,,str,1200,0,5,,"[""Constitute an obstacle to a large degree"", ""Constitute an obstacle to a moderate degree"", ""Constitute an obstacle to a small degree"", ""Decline to answer (Do not read)"", ""Does not constitute an obstacle at all""]",,
139,q6043,,str,1200,0,6,,"[""Constitute an obstacle to a large degree"", ""Constitute an obstacle to a moderate degree"", ""Constitute an obstacle to a small degree"", ""Decline to answer (Do not read)"", ""Does not constitute an obstacle at all"", ""Don't know (Do not read)""]",,
140,q605,,str,1200,0,7,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Laws of our country should be based entirely on the sharia"", ""Laws of our country should be based entirely on the will of the people"", ""Laws of our country should be based equally on sharia and the will of the people"", ""Laws of our country should be based mostly on the sharia"", ""Laws of our country should be based mostly on the will of the people""]",,
141,q605a,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree with the 1st sentence"", ""I agree with the 2nd sentence"", ""I strongly agree with the 1st sentence"", ""I strongly agree with the 2nd sentence""]",,
142,q6061,,str,1200,0,5,,"[""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
143,q6062,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
144,q6063,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
145,q6064,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
146,q6071,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
147,q6073,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
148,q6074,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
149,q6076,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
150,q6077,,str,1200,0,6,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""I agree"", ""I disagree"", ""I strongly agree"", ""I strongly disagree""]",,
151,aid1a,,str,1200,0,2,,"[""No"", ""Yes""]",,
152,aid1a1,,str,81,1119,2,,"[""No"", ""Yes""]",,
153,aid1a2,,str,81,1119,2,,"[""No"", ""Yes""]",,
154,aid1b1num,,str,17,1183,1,,"[""Did not participate""]",,
155,aid1b1sci,,str,17,1183,1,,"[""Did not participate""]",,
156,aid1b1comp,,str,17,1183,2,,"[""Did not participate"", ""Participated""]",,
157,aid1b1lang,,str,17,1183,2,,"[""Did not participate"", ""Participated""]",,
158,aid1b1life,,str,17,1183,2,,"[""Did not participate"", ""Participated""]",,
159,aid1b1soc,,str,17,1183,2,,"[""Did not participate"", ""Participated""]",,
160,aid1b1lit,,str,17,1183,1,,"[""Did not participate""]",,
161,aid1b1other,,str,17,1183,7,,"[""Aluminum products"", ""Did not participate"", ""Hair cutting"", ""Mechanics"", ""Mechanics and electrical"", ""Plumbing"", ""Welding""]",,
162,aid1b1dk,,str,17,1183,1,,"[""Did not participate""]",,
163,aid1b2num,,str,72,1128,2,,"[""Did not participate"", ""Participated""]",,
164,aid1b2sci,,str,72,1128,2,,"[""Did not participate"", ""Participated""]",,
165,aid1b2comp,,str,72,1128,2,,"[""Did not participate"", ""Participated""]",,
166,aid1b2lang,,str,72,1128,2,,"[""Did not participate"", ""Participated""]",,
167,aid1b2life,,str,72,1128,2,,"[""Did not participate"", ""Participated""]",,
168,aid1b2soc,,str,72,1128,2,,"[""Did not participate"", ""Participated""]",,
169,aid1b2lit,,str,72,1128,2,,"[""Did not participate"", ""Participated""]",,
170,aid1b2other,,str,72,1128,1,,"[""0""]",,
171,aid1b2dk,,str,72,1128,2,,"[""Did not participate"", ""Participated""]",,
172,aid1c,,str,81,1119,4,,"[""A private institution"", ""Don't know (Do not read)"", ""Organizations or agencies (NGOs, etc.)"", ""Other""]",,
173,aid1cother,,str,1,1199,1,,"[""Teacher""]",,
174,aid2,,str,1200,0,5,,"[""Don't know (Do not read)"", ""Not satisfied"", ""Not satisfied at all"", ""Satisfied"", ""Very satisfied""]",,
175,aid31,,str,1200,0,10,,"[""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Other"", ""To acquire a new skill for a job"", ""To acquire a new skill for a personal interest"", ""To further an interest"", ""To make a better person"", ""To meet people"", ""Working for a degree / a certificate"", ""Working for other qualification""]",,
176,aid31other,,str,17,1183,6,,"[""Did not succeed in the official program"", ""Religious reasons (to study Islam)"", ""The level of the student was very weak"", ""The official program is not good"", ""To emigrate"", ""To join a program for handicapped people""]",,
177,aid32,,str,1149,51,10,,"[""Don't know (Do not read)"", ""No further reply (Do not read)"", ""Other"", ""To acquire a new skill for a job"", ""To acquire a new skill for a personal interest"", ""To further an interest"", ""To make a better person"", ""To meet people"", ""Working for a degree / a certificate"", ""Working for other qualification""]",,
178,aid32other,,str,6,1194,2,,"[""The official program is not good"", ""To emigrate""]",,
179,aid41,,str,1200,0,17,,"[""Access (admission, qualification, regulation, etc.)"", ""Content"", ""Cost"", ""Cultural barriers"", ""Decline to answer (Do not read)"", ""Don't know (Do not read)"", ""Environment"", ""Family disapproval"", ""Governance/ organization"", ""Information"", ""Other"", ""Physical access "", ""Previous negative experience"", ""Resources"", ""Safety"", ""Time"", ""Transportation""]",,
