variable,n_waves,waves,first_wave,last_wave,question_text,question_text_source,text_varies_across_waves,comparison_basis,compared_wordings,lowest_text_agreement,text_from_questionnaire,w02_name,w02_text,w04_name,w04_text,w05_name,w05_text,w06p1_name,w06p1_text,w06p2_name,w06p2_text,w06p3_name,w06p3_text,w07_name,w07_text,w08_name,w08_text
Q2016,2,w02;w04,w02,w04,"q2016 I will name a number of institutions, and I would like you to tell me to what extent you trust each of them: 6. The armed forces (the army)",w02 release label,unknown,,0,,,q2016,"q2016 I will name a number of institutions, and I would like you to tell me to what extent you trust each of them: 6. The armed forces (the army)",q2016,,,,,,,,,,,,,
Q201A_31B,2,w07;w08,w07,w08,Q201A_31B. President/Head of State,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q201A_31B,Q201A_31B. President/Head of State,Q201A_31B,Q201A_31B President/Head of State
Q201A_31C,2,w07;w08,w07,w08,Q201A_31C. Prime Minister /Head of Government,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q201A_31C,Q201A_31C. Prime Minister /Head of Government,Q201A_31C,Q201A_31C Prime Minister/Head of Government
Q201A_41_GAZA,2,w07;w08,w07,w08,"I’m going to name a number of institutions. For each one, please tell me how much trust you have in them",w08 questionnaire (stem Q201A),no,questionnaire,2,1.0,w08,,,,,,,,,,,,,Q201A_41_GAZA,Q201A_41_Gaza. Government in Gaza,Q201A_41_GAZA,"I’m going to name a number of institutions. For each one, please tell me how much trust you have in them"
Q201A_41_WB,2,w07;w08,w07,w08,"I’m going to name a number of institutions. For each one, please tell me how much trust you have in them",w08 questionnaire (stem Q201A),no,questionnaire,2,1.0,w08,,,,,,,,,,,,,Q201A_41_WB,Q201A_41_WB. Government in the West Bank,Q201A_41_WB,"I’m going to name a number of institutions. For each one, please tell me how much trust you have in them"
Q201A_6A_LIB,2,w06p1;w06p2,w06p1,w06p2,Q201a_6A_LIB. Government of National Accord,w06p1 release label,no,questionnaire,2,1.0,,,,,,,,Q201A_6A_LIB,Q201a_6A_LIB. Government of National Accord,Q201A_6A_LIB,Q201a_3.Government of National Accord,,,,,,
Q201A_6B_LIB,2,w06p1;w06p2,w06p1,w06p2,Q201a_6B_LIB. House of Representatives,w06p1 release label,no,questionnaire,2,1.0,,,,,,,,Q201A_6B_LIB,Q201a_6B_LIB. House of Representatives,Q201A_6B_LIB,Q201a_4.House of Representatives,,,,,,
Q201B_14,2,w07;w08,w07,w08,Q201B_14 The main Shia party,w08 release label,yes,release labels,2,0.414,,,,,,,,,,,,,,Q201B_14,Q201B_14. Shia_group,Q201B_14,Q201B_14 The main Shia party
Q201B_15,2,w07;w08,w07,w08,Q201B_15. Tribal leaders,w07 release label,no,release labels,2,1.0,,,,,,,,,,,,,,Q201B_15,Q201B_15. Tribal leaders,Q201B_15,Q201B_15 Tribal leaders
Q201C_38,2,w05;w06p1,w05,w06p1,Q201c_38. Private banks,w06p1 release label,no,release labels,2,0.812,,,,,,Q201C_38,TRUST: PRIVATE BANKS,Q201C_38,Q201c_38. Private banks,,,,,,,,
Q202,2,w02;w04,w02,w04,"q202 In your opinion, is the state currently undertaking far reaching and Fundamental reforms and changes in its institutions and agencies?",w02 release label,no,questionnaire,2,0.946,w04,q202,"q202 In your opinion, is the state currently undertaking far reaching and Fundamental reforms and changes in its institutions and agencies?",q202,"In your opinion, is the state currently undertakingfar-reaching and radical reforms and changes in itsinstitutions and agencies?",,,,,,,,,,,,
Q2041,2,w02;w04,w02,w04,q2041 I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government’s 1. Managing the economy?,w02 release label,unknown,,0,,,q2041,q2041 I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government’s 1. Managing the economy?,q2041,,,,,,,,,,,,,
Q2042,2,w02;w04,w02,w04,q2042 I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government’s 2. Creating employment opportunities?,w02 release label,unknown,,0,,,q2042,q2042 I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government’s 2. Creating employment opportunities?,q2042,,,,,,,,,,,,,
Q2043,2,w02;w04,w02,w04,q2043 I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government’s 3. Narrowing the gap between rich and poor?,w02 release label,unknown,,0,,,q2043,q2043 I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government’s 3. Narrowing the gap between rich and poor?,q2043,,,,,,,,,,,,,
Q2044,2,w02;w04,w02,w04,q2044 I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government’s 4. Improving basic health services?,w02 release label,unknown,,0,,,q2044,q2044 I am going to ask a number of questions related to the current government’s performance. How would you evaluate the performance of the current government’s 4. Improving basic health services?,q2044,,,,,,,,,,,,,
Q204A_4,2,w07;w08,w07,w08,Q204A_4. The quality of the streets in our country,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q204A_4,Q204A_4. The quality of the streets in our country,Q204A_4,Q204A_4 The quality of the streets in our country
Q204A_5,2,w07;w08,w07,w08,Q204A_5. Trash collection in our country,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q204A_5,Q204A_5. Trash collection in our country,Q204A_5,Q204A_5 Trash collection in our country
Q204_2,2,w05;w08,w05,w08,EVALUATION: GOVERNMENT PERFORMANCE: CREATING JOB OPPORTUNITIES,w05 release label,yes,release labels,2,0.516,,,,,,Q204_2,EVALUATION: GOVERNMENT PERFORMANCE: CREATING JOB OPPORTUNITIES,,,,,,,,,Q204_2,Q204_2 Creating employment opportunities
Q2061,2,w02;w04,w02,w04,What are the most two important challenges yourcountry is facing today?,w04 questionnaire,unknown,,0,,w04,q2061,q2061 What is the most important challenge facing your country today?,q2061,What are the most two important challenges yourcountry is facing today?,,,,,,,,,,,,
Q2061A_KUW,2,w07;w08,w07,w08,Q2061A_KUW. What is the most important challenge facing your country today?,w07 release label,unknown,,0,,,,,,,,,,,,,,,Q2061A_KUW,Q2061A_KUW. What is the most important challenge facing your country today?,Q2061A_KUW,
Q2062,2,w02;w04,w02,w04,q2062 What is the second most important challenge facing your country today?,w02 release label,unknown,,0,,w04,q2062,q2062 What is the second most important challenge facing your country today?,q2062,What are the most two important challenges yourcountry is facing today?,,,,,,,,,,,,
Q209,2,w02;w05,w02,w05,q209 To what extent do you agree with this statement: The government does all it can to provide its citizens with all services,w02 release label,no,release labels,2,0.601,,q209,q209 To what extent do you agree with this statement: The government does all it can to provide its citizens with all services,,,Q209,DIS/AGREEMENT: GOVERNMENT DOES ALL TO PROVIDE NECESSARY SERVICES,,,,,,,,,,
Q211A,2,w05;w06p2,w05,w06p2,Q211A.What is the most effective way the government could tackle corruption?,w06p2 release label,yes,release labels,2,0.204,,,,,,Q211A,CORRUPTION: EXTENT LOCAL LEVEL,,,Q211A,Q211A.What is the most effective way the government could tackle corruption?,,,,,,
Q211C,2,w05;w08,w05,w08,Q211C To what extent do you think that there is corruption within the local/municipal agencies and institutions in your country?,w08 release label,yes,release labels,2,0.278,,,,,,Q211C,CORRUPTION: RASHWA: HEALTHCARE SERVICES,,,,,,,,,Q211C,Q211C To what extent do you think that there is corruption within the local/municipal agencies and institutions in your country?
Q213,2,w02;w04,w02,w04,"q213 Some people say that nowadays it is impossible to obtain a job without connections, while others say that jobs are only available to qualified candidates. Based on a recent experience (or experiences) you are personally aware of, do you think that",w02 release label,no,questionnaire,2,0.913,w04,q213,"q213 Some people say that nowadays it is impossible to obtain a job without connections, while others say that jobs are only available to qualified candidates. Based on a recent experience (or experiences) you are personally aware of, do you think that",q213,"Some people say that nowadays it is impossible toget a job without connections (wasta) while otherssay that jobs are only available to qualifiedcandidates. Based on a recent experience (orexperiences) you are personally aware of, do youthink that … ?",,,,,,,,,,,,
Q217,2,w02;w04,w02,w04,"q217 In your opinion, are people nowadays able to criticize the government without fear?",w02 release label,yes,questionnaire,2,0.533,w04,q217,"q217 In your opinion, are people nowadays able to criticize the government without fear?",q217,Do you think that people nowadays can criticizetheir government without fear?,,,,,,,,,,,,
Q2181,2,w02;w04,w02,w04,q2181 Do you agree or disagree with the following statements? 1. Government employees are aware of citizens’ needs,w02 release label,unknown,,0,,,q2181,q2181 Do you agree or disagree with the following statements? 1. Government employees are aware of citizens’ needs,q2181,,,,,,,,,,,,,
Q2182,2,w02;w04,w02,w04,q2182 Do you agree or disagree with the following statements? 2. Political leaders are concerned with the needs of ordinary citizens,w02 release label,unknown,,0,,,q2182,q2182 Do you agree or disagree with the following statements? 2. Political leaders are concerned with the needs of ordinary citizens,q2182,,,,,,,,,,,,,
Q2185,2,w02;w04,w02,w04,"q2185 Do you agree or disagree with the following statements? 5. Sometimes, politics are so complicated that I cannot understand what is happening",w02 release label,unknown,,0,,,q2185,"q2185 Do you agree or disagree with the following statements? 5. Sometimes, politics are so complicated that I cannot understand what is happening",q2185,,,,,,,,,,,,,
Q220LEB,2,w07;w08,w07,w08,Q220LEB. To what extent do you agree with the following statement:\n“It is good for the Arab region that Hezbollah is getting involved in regional politics.”,w07 release label,no,questionnaire,2,1.0,w08,,,,,,,,,,,,,Q220LEB,Q220LEB. To what extent do you agree with the following statement:\n“It is good for the Arab region that Hezbollah is getting involved in regional politics.”,Q220LEB,To what extent do you agree with the following statement: “It is good for the Arab region that Hezbollah is getting involved in regional politics.”
Q265,2,w04;w05,w04,w05,Which of the following statements comes closest toyour view? Choose Statement 1 or Statement,w04 questionnaire,unknown,,0,,w04,,,q265,Which of the following statements comes closest toyour view? Choose Statement 1 or Statement,Q265,PREFERENCE: TAXES VS. SADAQA,,,,,,,,,,
Q271_1,2,w06p2;w08,w06p2,w08,Q271_1 Get admitted to university,w06p2 release label,no,questionnaire,2,0.604,,,,,,,,,,Q271_1,Q271_1 Get admitted to university,,,,,Q271_1,Q271_1 Get a job
Q274A,2,w07;w08,w07,w08,"Q274A. In the past 12 months, have you experienced any electricity outages",w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q274A,"Q274A. In the past 12 months, have you experienced any electricity outages",Q274A,"Q274A In the past 12 months, have you experienced any electricity outages"
Q274B,2,w07;w08,w07,w08,"Q274B. In the past 12 months, have you experienced water outages",w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q274B,"Q274B. In the past 12 months, have you experienced water outages",Q274B,"Q274B In the past 12 months, have you experienced water outages"
Q276,2,w07;w08,w07,w08,Q276. How well do you think the government responds to what people want?,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q276,Q276. How well do you think the government responds to what people want?,Q276,Q276 How well do you think the government responds to what people want?
Q301,2,w02;w04,w02,w04,q301 Did you vote in the last parliamentary elections that were held on (date of the last elections),w02 release label,no,questionnaire,2,0.649,w04,q301,q301 Did you vote in the last parliamentary elections that were held on (date of the last elections),q301,Did you vote in the last parliamentary electionselection that took place on,,,,,,,,,,,,
Q303,2,w02;w04,w02,w04,"q303 In general, how would you evaluate the last parliamentary elections that were held on (date of the last elections in each country)?",w02 release label,no,questionnaire,2,0.747,w04,q303,"q303 In general, how would you evaluate the last parliamentary elections that were held on (date of the last elections in each country)?",q303,"In general, how would you evaluate the lastparliamentary elections that were held on held in",,,,,,,,,,,,
Q403,2,w02;w04,w02,w04,"q403 When you wish to read foreign newspapers, magazines, books, or to view websites on the internet, do you sometimes find that they are blocked by the government and/or its agencies?",w02 release label,no,questionnaire,2,0.805,w04,q403,"q403 When you wish to read foreign newspapers, magazines, books, or to view websites on the internet, do you sometimes find that they are blocked by the government and/or its agencies?",q403,"When you want to get newspapers, magazines,foreign books, or view sites on the internet, do yousometimes find it is forbidden by the governmentand/or its agencies?",,,,,,,,,,,,
Q4061,2,w02;w04,w02,w04,"q4061 In general, do you follow political news through [Insert]? 1. The television",w02 release label,unknown,,0,,,q4061,"q4061 In general, do you follow political news through [Insert]? 1. The television",q4061,,,,,,,,,,,,,
Q4062,2,w02;w04,w02,w04,"q4062 In general, do you follow political news through [Insert]? 2. The daily press",w02 release label,unknown,,0,,,q4062,"q4062 In general, do you follow political news through [Insert]? 2. The daily press",q4062,,,,,,,,,,,,,
Q4101,2,w02;w04,w02,w04,q4101 Do you use the internet in order to [Insert]? 1. Find out about political activities taking place in your country,w02 release label,unknown,,0,,,q4101,q4101 Do you use the internet in order to [Insert]? 1. Find out about political activities taking place in your country,q4101,,,,,,,,,,,,,
Q4102,2,w02;w04,w02,w04,q4102 Do you use the internet in order to [Insert]? 2. Express your opinion about political issues,w02 release label,unknown,,0,,,q4102,q4102 Do you use the internet in order to [Insert]? 2. Express your opinion about political issues,q4102,,,,,,,,,,,,,
Q412A_1,2,w07;w08,w07,w08,Q412A. Facebook,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_1,Q412A. Facebook,Q412A_1,Facebook
Q412A_10,2,w07;w08,w07,w08,Q412A. Signal,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_10,Q412A. Signal,Q412A_10,Signal
Q412A_11,2,w07;w08,w07,w08,Q412A. TikTok,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_11,Q412A. TikTok,Q412A_11,TikTok
Q412A_12,2,w07;w08,w07,w08,Q412A. Other,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_12,Q412A. Other,Q412A_12,Reddit
Q412A_2,2,w07;w08,w07,w08,Q412A. Twitter,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_2,Q412A. Twitter,Q412A_2,Twitter
Q412A_3,2,w07;w08,w07,w08,Q412A. Instagram,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_3,Q412A. Instagram,Q412A_3,Instagram
Q412A_4,2,w07;w08,w07,w08,Q412A. YouTube,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_4,Q412A. YouTube,Q412A_4,YouTube
Q412A_5,2,w07;w08,w07,w08,Q412A. WhatsApp,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_5,Q412A. WhatsApp,Q412A_5,WhatsApp
Q412A_6,2,w07;w08,w07,w08,Q412A. Telegram,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_6,Q412A. Telegram,Q412A_6,Telegram
Q412A_7,2,w07;w08,w07,w08,Q412A. Snapchat,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_7,Q412A. Snapchat,Q412A_7,Snapchat
Q412A_8,2,w07;w08,w07,w08,Q412A. Viber,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_8,Q412A. Viber,Q412A_8,Viber
Q412A_9,2,w07;w08,w07,w08,Q412A. Clubhouse,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_9,Q412A. Clubhouse,Q412A_9,Clubhouse
Q412A_98,2,w07;w08,w07,w08,Q412A. Don’t know,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_98,Q412A. Don’t know,Q412A_98,Don’t know
Q412A_99,2,w07;w08,w07,w08,Q412A. Refused to answer,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q412A_99,Q412A. Refused to answer,Q412A_99,Refused to answer
Q501D,2,w07;w08,w07,w08,"Q501D. In a typical month, do you volunteer your time to do unpaid work for or support a cause that you care about?",w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q501D,"Q501D. In a typical month, do you volunteer your time to do unpaid work for or support a cause that you care about?",Q501D,"Q501D In a typical month, do you volunteer your time to do unpaid work for or support a cause that you care about?"
Q501E_2,2,w07;w08,w07,w08,Q501E_2. Type of cause,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q501E_2,Q501E_2. Type of cause,Q501E_2,Q501E_2 Open Ansewr
Q5021,2,w02;w04,w02,w04,"q5021 Here is a set of activities that citizens usually take part in. During the past three years, did you participate in [Insert]? 1. Attending a meeting to learn about a subject or sign a petition",w02 release label,unknown,,0,,,q5021,"q5021 Here is a set of activities that citizens usually take part in. During the past three years, did you participate in [Insert]? 1. Attending a meeting to learn about a subject or sign a petition",q5021,,,,,,,,,,,,,
Q5022,2,w02;w04,w02,w04,"q5022 Here is a set of activities that citizens usually take part in. During the past three years, did you participate in [Insert]? 2. Participating in a protest, march or sit-in",w02 release label,unknown,,0,,,q5022,"q5022 Here is a set of activities that citizens usually take part in. During the past three years, did you participate in [Insert]? 2. Participating in a protest, march or sit-in",q5022,,,,,,,,,,,,,
Q503,2,w02;w04,w02,w04,"Which of the existing parties is closest torepresenting your political, social and economicaspirations (Not asked in Qatar)? Specify",w04 questionnaire,unknown,,0,,w04,q503,"q503 Which of the existing parties is closest to representing your political, social and economic aspirations?",q503,"Which of the existing parties is closest torepresenting your political, social and economicaspirations (Not asked in Qatar)? Specify",,,,,,,,,,,,
Q508,2,w02;w08,w02,w08,"q508 In your opinion, to what extent is the United States of America a democratic country?",w02 release label,no,release labels,2,1.0,,q508,"q508 In your opinion, to what extent is the United States of America a democratic country?",,,,,,,,,,,,,Q508,"Q508 In your opinion, to what extent is the United States of America a democratic country?"
Q509,2,w02;w08,w02,w08,"q509 In your opinion, to what extent is China a democratic country?",w02 release label,no,release labels,2,1.0,,q509,"q509 In your opinion, to what extent is China a democratic country?",,,,,,,,,,,,,Q509,"Q509 In your opinion, to what extent is China a democratic country?"
Q515A2,2,w04;w05,w04,w05,"Many things may be desirable, but not all of themare essential characteristics of democracy. If youhave to choose only one from each four sets ofstatements that I am going to read, which onewould you choose as the most essentialcharacteristics of a democracy?",w04 questionnaire,unknown,,0,,w04,,,q515a2,"Many things may be desirable, but not all of themare essential characteristics of democracy. If youhave to choose only one from each four sets ofstatements that I am going to read, which onewould you choose as the most essentialcharacteristics of a democracy?",Q515A2,DEMOCRACY: MAIN CHARACTERISTIC,,,,,,,,,,
Q5161,2,w02;w04,w02,w04,"q5161 To what extent do you agree or disagree with the following statements? 1. Under a democratic system, the country’s economic performance is weak",w02 release label,unknown,,0,,,q5161,"q5161 To what extent do you agree or disagree with the following statements? 1. Under a democratic system, the country’s economic performance is weak",q5161,,,,,,,,,,,,,
Q5162,2,w02;w04,w02,w04,q5162 To what extent do you agree or disagree with the following statements? 2. Democratic regimes are indecisive and full of problems,w02 release label,unknown,,0,,,q5162,q5162 To what extent do you agree or disagree with the following statements? 2. Democratic regimes are indecisive and full of problems,q5162,,,,,,,,,,,,,
Q5163,2,w02;w04,w02,w04,q5163 To what extent do you agree or disagree with the following statements? 3. Democratic systems are not effective at maintaining order and stability,w02 release label,unknown,,0,,,q5163,q5163 To what extent do you agree or disagree with the following statements? 3. Democratic systems are not effective at maintaining order and stability,q5163,,,,,,,,,,,,,
Q5164,2,w02;w04,w02,w04,"q5164 To what extent do you agree or disagree with the following statements? 4. A democratic system may have problems, yet it is better than other systems",w02 release label,unknown,,0,,,q5164,"q5164 To what extent do you agree or disagree with the following statements? 4. A democratic system may have problems, yet it is better than other systems",q5164,,,,,,,,,,,,,
Q5165,2,w02;w04,w02,w04,q5165 To what extent do you agree or disagree with the following statements? 5. The citizens in your country are not prepared for a democratic system,w02 release label,unknown,,0,,,q5165,q5165 To what extent do you agree or disagree with the following statements? 5. The citizens in your country are not prepared for a democratic system,q5165,,,,,,,,,,,,,
Q5181,2,w02;w04,w02,w04,"q5181 I will mention some of the political systems and I would like to know to what extent you think these systems would be appropriate for your country. 1. A parliamentary system in which nationalist, left wing, right wing, and Islamist parties compete in",w02 release label,unknown,,0,,,q5181,"q5181 I will mention some of the political systems and I would like to know to what extent you think these systems would be appropriate for your country. 1. A parliamentary system in which nationalist, left wing, right wing, and Islamist parties compete in",q5181,,,,,,,,,,,,,
Q5182,2,w02;w04,w02,w04,q5182 I will mention some of the political systems and I would like to know to what extent you think these systems would be appropriate for your country. 2. A parliamentary system in which only Islamist parties compete in parliamentary elections,w02 release label,unknown,,0,,,q5182,q5182 I will mention some of the political systems and I would like to know to what extent you think these systems would be appropriate for your country. 2. A parliamentary system in which only Islamist parties compete in parliamentary elections,q5182,,,,,,,,,,,,,
Q5183,2,w02;w04,w02,w04,q5183 I will mention some of the political systems and I would like to know to what extent you think these systems would be appropriate for your country. 3. A political system governed by a strong authority which makes decisions without considering elector,w02 release label,unknown,,0,,,q5183,q5183 I will mention some of the political systems and I would like to know to what extent you think these systems would be appropriate for your country. 3. A political system governed by a strong authority which makes decisions without considering elector,q5183,,,,,,,,,,,,,
Q5184,2,w02;w04,w02,w04,q5184 I will mention some of the political systems and I would like to know to what extent you think these systems would be appropriate for your country. 4. A system governed by Islamic law without elections or political parties,w02 release label,unknown,,0,,,q5184,q5184 I will mention some of the political systems and I would like to know to what extent you think these systems would be appropriate for your country. 4. A system governed by Islamic law without elections or political parties,q5184,,,,,,,,,,,,,
Q5185,2,w02;w04,w02,w04,q5185 I will mention some of the political systems and I would like to know to what extent you think these systems would be appropriate for your country. 5. A parliamentary system in which only non-religious parties compete in parliamentary elections,w02 release label,unknown,,0,,,q5185,q5185 I will mention some of the political systems and I would like to know to what extent you think these systems would be appropriate for your country. 5. A parliamentary system in which only non-religious parties compete in parliamentary elections,q5185,,,,,,,,,,,,,
Q5211,2,w02;w04,w02,w04,q5211 To what extent do you think that [Insert] is guaranteed in your country? 1. Freedom to express opinions,w02 release label,unknown,,0,,,q5211,q5211 To what extent do you think that [Insert] is guaranteed in your country? 1. Freedom to express opinions,q5211,,,,,,,,,,,,,
Q5212,2,w02;w04,w02,w04,q5212 To what extent do you think that [Insert] is guaranteed in your country? 2. Freedom of the press,w02 release label,unknown,,0,,,q5212,q5212 To what extent do you think that [Insert] is guaranteed in your country? 2. Freedom of the press,q5212,,,,,,,,,,,,,
Q5213,2,w02;w04,w02,w04,q5213 To what extent do you think that [Insert] is guaranteed in your country? 3. Freedom to join political parties,w02 release label,unknown,,0,,,q5213,q5213 To what extent do you think that [Insert] is guaranteed in your country? 3. Freedom to join political parties,q5213,,,,,,,,,,,,,
Q5214,2,w02;w04,w02,w04,q5214 To what extent do you think that [Insert] is guaranteed in your country? 4. Freedom to participate in peaceful protests and demonstrations,w02 release label,unknown,,0,,,q5214,q5214 To what extent do you think that [Insert] is guaranteed in your country? 4. Freedom to participate in peaceful protests and demonstrations,q5214,,,,,,,,,,,,,
Q5215,2,w02;w04,w02,w04,q5215 To what extent do you think that [Insert] is guaranteed in your country? 5. Freedom to join NGOs and civil society organizations,w02 release label,unknown,,0,,,q5215,q5215 To what extent do you think that [Insert] is guaranteed in your country? 5. Freedom to join NGOs and civil society organizations,q5215,,,,,,,,,,,,,
Q521_2A,2,w07;w08,w07,w08,Q521_2A. Freedom of the media to criticize the things government does,w07 release label,no,questionnaire,2,0.906,,,,,,,,,,,,,,Q521_2A,Q521_2A. Freedom of the media to criticize the things government does,Q521_2A,Q521_2A Freedom of the media to criticize the things government does
Q521_2B,2,w07;w08,w07,w08,Q521_2B. Freedom of the press,w07 release label,no,questionnaire,2,0.906,,,,,,,,,,,,,,Q521_2B,Q521_2B. Freedom of the press,Q521_2B,Q521_2B Freedom of the press
Q521_6,2,w07;w08,w07,w08,Q521_6. Freedom of religion,w07 release label,no,questionnaire,2,0.906,,,,,,,,,,,,,,Q521_6,Q521_6. Freedom of religion,Q521_6,Q521_6 Freedom of religion
Q523,2,w02;w04,w02,w04,To what degree would you agree that the violationof human rights committed by the government inyour country is justifiable in the name of promotingsecurity and stability? (Not asked in Qatar),w04 questionnaire,yes,questionnaire,2,0.571,w04,q523,q523 To what extent do you think the lack of respect for human rights for security purposes in your country is justified?,q523,To what degree would you agree that the violationof human rights committed by the government inyour country is justifiable in the name of promotingsecurity and stability? (Not asked in Qatar),,,,,,,,,,,,
Q533_5,2,w06p2;w07,w06p2,w07,"Q533_5. As long as the government can maintain order and stability in the country, it does not matter whether it is democratic or undemocratic",w07 release label,no,questionnaire,2,0.824,,,,,,,,,,Q533_5,Q533_5 As long as the government can maintain order and stability in the country,,,Q533_5,"Q533_5. As long as the government can maintain order and stability in the country, it does not matter whether it is democratic or undemocratic",,
Q534_1,2,w06p2;w08,w06p2,w08,Q534_1. Using a landline telephone,w08 release label,no,questionnaire,2,0.922,,,,,,,,,,Q534_1,Q534_1 Using a landline,,,,,Q534_1,Q534_1. Using a landline telephone
Q540_1,2,w07;w08,w07,w08,Q540_1. Which of the following are the first and second biggest environmental challenges facing your country?,w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q540_1,Q540_1. Which of the following are the first and second biggest environmental challenges facing your country?,Q540_1,Q540_1. Which of the following are the first and second biggest environmental challenges facing?
Q540_2,2,w07;w08,w07,w08,Q540_2. Which of the following are the first and second biggest environmental challenges facing your country?,w07 release label,no,questionnaire,2,0.951,,,,,,,,,,,,,,Q540_2,Q540_2. Which of the following are the first and second biggest environmental challenges facing your country?,Q540_2,Q540_2. Which of the following are the first and second biggest environmental challenges facing?
Q546,2,w07;w08,w07,w08,"Q546. Do you think our national government should do more, less, or about the same amount as it is doing right now to deal with climate change?",w07 release label,no,questionnaire,2,1.0,,,,,,,,,,,,,,Q546,"Q546. Do you think our national government should do more, less, or about the same amount as it is doing right now to deal with climate change?",Q546,"Q546. Do you think our national government should do more, less, or about the same amount as it is doing right now to deal with climate change?"
Q5COVID19,2,w06p1;w06p3,w06p1,w06p3,"Q5COVID19. If you were employed before the spread of the coronavirus, did it cau",w06p1 release label,no,questionnaire,2,1.0,,,,,,,,Q5COVID19,"Q5COVID19. If you were employed before the spread of the coronavirus, did it cau",,,Q5COVID19,"If you were employed before the spread of the coronavirus, did it cause you to",,,,
Q601A,2,w05;w06p3,w05,w06p3,To achieve fairer representation a certain percentage of elected positions shoul,w06p3 release label,yes,release labels,2,0.262,,,,,,Q601A,DIS/AGREEMENT: WOMEN'S QUOTA,,,,,Q601A,To achieve fairer representation a certain percentage of elected positions shoul,,,,
Q601_1,2,w05;w06p3,w05,w06p3,"For each of the statements listed below, please indicate whether you agree stron",w06p3 release label,yes,release labels,2,0.26,,,,,,Q601_1,WOMEN'S RIGHTS: WOMAN CAN BE PRIME MINISTER/PRESIDENT,,,,,Q601_1,"For each of the statements listed below, please indicate whether you agree stron",,,,
Q601_20,2,w05;w06p3,w05,w06p3,Taking care of the home and children is a woman’s primary responsibility,w06p3 release label,yes,release labels,2,0.271,,,,,,Q601_20,Women should have the right to pass on citizenship to their children,,,,,Q601_20,Taking care of the home and children is a woman’s primary responsibility,,,,
Q6021,2,w02;w04,w02,w04,q6021 Members of which of the following groups would you not like to have as neighbors? 1. Followers of other religions,w02 release label,unknown,,0,,,q6021,q6021 Members of which of the following groups would you not like to have as neighbors? 1. Followers of other religions,q6021,,,,,,,,,,,,,
Q6022,2,w02;w04,w02,w04,q6022 Members of which of the following groups would you not like to have as neighbors? 2. People of a different race and color,w02 release label,unknown,,0,,,q6022,q6022 Members of which of the following groups would you not like to have as neighbors? 2. People of a different race and color,q6022,,,,,,,,,,,,,
Q6023,2,w02;w04,w02,w04,q6023 Members of which of the following groups would you not like to have as neighbors? 3. Expatriate workers and immigrants,w02 release label,unknown,,0,,,q6023,q6023 Members of which of the following groups would you not like to have as neighbors? 3. Expatriate workers and immigrants,q6023,,,,,,,,,,,,,
Q6024,2,w02;w04,w02,w04,q6024 Members of which of the following groups would you not like to have as neighbors? 4. Displaced peoples and refugees,w02 release label,unknown,,0,,,q6024,q6024 Members of which of the following groups would you not like to have as neighbors? 4. Displaced peoples and refugees,q6024,,,,,,,,,,,,,
Q602_1,2,w05;w06p3,w05,w06p3,"For each of the following types of people, please tell me whether you would like",w06p3 release label,yes,release labels,2,0.203,,,,,,Q602_1,PREFERENCE: NEIGHBORS: DIFFERENT RELIGION,,,,,Q602_1,"For each of the following types of people, please tell me whether you would like",,,,
