position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,min,max
11,stratum,,float64,2400,0,44,,1.0,46.0
12,sample,SAMPLE,float64,2400,0,1,"{""1"": ""main sample"", ""2"": ""oversample: age"", ""3"": ""oversample: Christians"", ""4"": ""oversample: Jerusalem""}",1.0,1.0
13,mode,MODE OF DATA COLLECTION,float64,2400,0,1,"{""1"": ""CAPI"", ""2"": ""PAPI""}",1.0,1.0
14,Q1001,,float64,2400,0,70,,18.0,99999.0
15,Q1001GCC,DEMOGRAPHICS: APPROXIMATE AGE,float64,0,2400,0,"{""99999"": ""refused""}",,
16,Q1002,DEMOGRAPHICS: GENDER,float64,2400,0,2,"{""1"": ""male"", ""2"": ""female"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know"", ""3"": ""3.  MALE"", ""5"": ""5.  FEMALE""}",1.0,2.0
17,Q100,EVALUATION: DIRECTION OF COUNTRY,float64,2400,0,5,"{""1"": ""right"", ""2"": ""between"", ""3"": ""wrong"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
18,Q2061A,MOST IMPORTANT CHALLENGE,float64,2400,0,13,"{""1"": ""economic situation"", ""2"": ""financial and administrative corruption"", ""3"": ""democracy and representation/governance"", ""6"": ""internal stability and security"", ""7"": ""foreign interference"", ""8"": ""religious extremism"", ""11"": ""fighting terrorism"", ""12"": ""public services"", ""13"": ""security"", ""14"": ""political/party issues"", ""15"": ""other"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know"", ""4"": ""4. Internal stability and security"", ""5"": ""5. Foreign interference"", ""9"": ""9. Security"", ""10"": ""10. Others: ________ (specify)""}",1.0,99.0
19,Q2061B,SECOND MOST IMPORTANT CHALLENGE,float64,2400,0,14,"{""1"": ""economic situation"", ""2"": ""financial and administrative corruption"", ""3"": ""democracy and representation/governance"", ""6"": ""internal stability and security"", ""7"": ""foreign interference"", ""8"": ""religious extremism"", ""11"": ""fighting terrorism"", ""12"": ""public services"", ""13"": ""security"", ""14"": ""political/party issues"", ""15"": ""other"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know"", ""4"": ""4. Internal stability and security"", ""5"": ""5. Foreign interference"", ""9"": ""9. Security"", ""10"": ""10. Others: ________ (specify)""}",1.0,99.0
20,Q101,EVALUATION: CURRENT ECONOMIC SITUATION,float64,2400,0,6,"{""1"": ""very good"", ""2"": ""good"", ""3"": ""bad"", ""4"": ""very bad"", ""97"": ""not responsible"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
21,Q101A,EVALUATION: PAST ECONOMIC SITUATION,float64,2400,0,7,"{""1"": ""much better"", ""2"": ""better"", ""3"": ""the same"", ""4"": ""worse"", ""5"": ""much worse"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
22,Q102,EVALUATION: FUTURE ECONMIC SITUATION,float64,2400,0,7,"{""1"": ""much better"", ""2"": ""better"", ""3"": ""the same"", ""4"": ""worse"", ""5"": ""much worse"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
23,Q108_1,EVALUATION: ENVIRONMENT: CLIMATE CHANGE,float64,1192,1208,6,"{""1"": ""very serious"", ""2"": ""serious"", ""3"": ""not serious"", ""4"": ""not at all serious"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
24,Q108_2,EVALUATION: ENVIRONMENT: AIR QUALITY,float64,1192,1208,5,"{""1"": ""very serious"", ""2"": ""serious"", ""3"": ""not serious"", ""4"": ""not at all serious"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,98.0
25,Q108_3,EVALUATION: ENVIRONMENT: WATER POLLUTION,float64,1192,1208,5,"{""1"": ""very serious"", ""2"": ""serious"", ""3"": ""not serious"", ""4"": ""not at all serious"", ""98"": ""don't know"", ""99"": ""refused""}",1.0,98.0
26,Q108_4,EVALUATION: ENVIRONMENT: TRASH,float64,1192,1208,5,"{""1"": ""very serious"", ""2"": ""serious"", ""3"": ""not serious"", ""4"": ""not at all serious"", ""98"": ""don't know"", ""99"": ""refused""}",1.0,98.0
27,Q109AGCC_1,KUWAIT BEST/WORST PLACE TO LIVE: CURRENTLY,float64,0,2400,0,"{""0"": ""worst place"", ""10"": ""best place"", ""97"": ""not applicable"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know"", ""1"": ""1."", ""2"": ""2."", ""3"": ""3."", ""4"": ""4."", ""5"": ""5."", ""6"": ""6."", ""7"": ""7."", ""8"": ""8."", ""9"": ""9.""}",,
28,Q109AGCC_2,KUWAIT BEST/WORST PLACE TO LIVE: PREVIOUS YEAR,float64,0,2400,0,"{""0"": ""worst place"", ""10"": ""best place"", ""97"": ""not applicable"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know"", ""1"": ""1."", ""2"": ""2."", ""3"": ""3."", ""4"": ""4."", ""5"": ""5."", ""6"": ""6."", ""7"": ""7."", ""8"": ""8."", ""9"": ""9.""}",,
29,Q104,MIGRATION: CONSIDERATION EMIGRATION,float64,2400,0,3,"{""1"": ""yes"", ""2"": ""no"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,98.0
30,Q104A,MIGRATION: REASON FOR EMIGRATION,float64,732,1668,9,"{""1"": ""ecocnomic reasons"", ""2"": ""political reasons"", ""3"": ""religious reasons"", ""4"": ""security reasons"", ""5"": ""education opportunities"", ""6"": ""reunite with family"", ""7"": ""corruption"", ""8"": ""other"", ""98"": ""don't know"", ""99"": ""refused""}",1.0,98.0
31,Q104A_1,MIGRATION: REASON: ECONOMY,float64,0,2400,0,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",,
32,Q104A_2,MIGRATION: REASON: POLITICS,float64,0,2400,0,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",,
33,Q104A_3,MIGRATION: REASON: RELIGION,float64,0,2400,0,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",,
34,Q104A_4,MIGRATION: REASON: SECURITY,float64,0,2400,0,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",,
35,Q104A_5,MIGRATION: REASON: EDUCATION,float64,0,2400,0,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",,
36,Q104A_6,MIGRATION: REASON: FAMILY REUNION,float64,0,2400,0,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",,
37,Q104A_7,MIGRATION: REASON: CORRUPTION,float64,0,2400,0,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",,
38,Q104A_8,MIGRATION: REASON: OTHER,float64,0,2400,0,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",,
39,Q104A_98,MIGRATION: REASON: DON'T KNOW,float64,0,2400,0,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",,
40,Q104A_99,MIGRATION: REASON: REFUSED,float64,0,2400,0,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",,
41,Q104B_KSA,MIGRATION: DESTINATION COUNTRY: SAUDI ARABIA,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
42,Q104B_UAE,MIGRATION: DESTINATION COUNTRY: UNITED ARABIC EMIRATES,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
43,Q104B_QA,MIGRATION: DESTINATION COUNTRY: QATAR,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
44,Q104B_BA,MIGRATION: DESTINATION COUNTRY: BAHRAIN,float64,732,1668,1,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,0.0
45,Q104B_KU,MIGRATION: DESTINATION COUNTRY: KUWAIT,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
46,Q104B_OM,MIGRATION: DESTINATION COUNTRY: OMAN,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
47,Q104B_EG,MIGRATION: DESTINATION COUNTRY: EGYPT,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
48,Q104B_JO,MIGRATION: DESTINATION COUNTRY: JORDAN,float64,732,1668,1,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,0.0
49,Q104B_LEB,MIGRATION: DESTINATION COUNTRY: LEBANON,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
50,Q104B_MO,MIGRATION: DESTINATION COUNTRY: MOROCCO,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
51,Q104B_AL,MIGRATION: DESTINATION COUNTRY: ALGERIA,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
52,Q104B_TUN,MIGRATION: DESTINATION COUNTRY: TUNISIA,float64,732,1668,1,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,0.0
53,Q104B_TUR,MIGRATION: DESTINATION COUNTRY: TURKEY,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
54,Q104B_US,MIGRATION: DESTINATION COUNTRY: UNITED STATES,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
55,Q104B_CAN,MIGRATION: DESTINATION COUNTRY: CANADA,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
56,Q104B_UK,MIGRATION: DESTINATION COUNTRY: UNITED KINGDOM,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
57,Q104B_EEU,MIGRATION: DESTINATION COUNTRY: EASTERN EUROPE,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
58,Q104B_FR,MIGRATION: DESTINATION COUNTRY: FRANCE,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
59,Q104B_GER,MIGRATION: DESTINATION COUNTRY: GERMANY,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
60,Q104B_ESP,MIGRATION: DESTINATION COUNTRY: SPAIN,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
61,Q104B_IT,MIGRATION: DESTINATION COUNTRY: ITALY,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
62,Q104B_WEUOTHER,MIGRATION: DESTINATION COUNTRY: WESTERN EUROPE (OTHER),float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
63,Q104B_SSA,MIGRATION: DESTINATION COUNTRY: SUB SAHARAN AFRICA,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
64,Q104B_OTHER,MIGRATION: DESTINATION COUNTRY: OTHER,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
65,Q104B_DK,MIGRATION: DESTINATION COUNTRY: DON'T KNOW,float64,732,1668,2,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,1.0
66,Q104B_REF,MIGRATION: DESTINATION COUNTRY: REFUSED,float64,732,1668,1,"{""0"": ""not mentioned"", ""1"": ""mentioned""}",0.0,0.0
67,Q104B_WEU,WESTERN EUROPE,float64,732,1668,1,"{""0"": ""0.  not selected"", ""1"": ""1. selected""}",0.0,0.0
68,Q104C,MIGRATION: LEAVE WITHOUT PAPERS,float64,732,1668,3,"{""1"": ""yes"", ""2"": ""no"", ""98"": ""don't know"", ""99"": ""refused""}",1.0,98.0
69,Q105,EVALUATION: PERSONAL SAFETY/SECURITY,float64,2400,0,5,"{""1"": ""fully ensured"", ""2"": ""ensured"", ""3"": ""not ensured"", ""4"": ""not at all ensured"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,98.0
70,Q103,TRUST: INTERPERSONAL,float64,2400,0,4,"{""1"": ""trusted"", ""2"": ""not trusted"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
71,Q201A_1,TRUST: GOVERNMENT,float64,2400,0,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
72,Q201A_2,TRUST: COURTS/LEGAL SYSTEM,float64,2400,0,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
73,Q201A_3,TRUST: PARLIAMENT,float64,2400,0,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
74,Q201A_5,TRUST: LOCAL GOVERNMENT (MUNICIPAL GOVERNMENT IN LEBANON),float64,2400,0,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
75,Q201A_41,TRUST: REGIONAL GOVERNMENT,float64,2400,0,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused""}",1.0,99.0
76,Q201A_42,TRUST: POLICE,float64,2400,0,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
77,Q201A_7,TRUST: CIVIL SOCIETY ORGANISATIONS,float64,2400,0,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
78,Q201B_6,TRUST: THE ARMY,float64,1192,1208,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
79,Q201B_13,TRUST: RELIGIOUS LEADERS,float64,1192,1208,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
80,Q201B_20,TRUST: POLITICAL PARTIES,float64,1192,1208,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused""}",1.0,99.0
81,Q201B_31,TRUST: PRESIDENT/PRIME MINISTER,float64,1192,1208,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused""}",1.0,99.0
82,Q201B_12,TRUST: ISLAMIST MOVEMENT (VARIES BY COUNTRY),float64,1192,1208,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused""}",1.0,99.0
83,Q201C_37,TRUST: PRIVATE HOSPITALS,float64,1208,1192,5,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,98.0
84,Q201C_38,TRUST: PRIVATE BANKS,float64,1208,1192,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
85,Q201C_39,TRUST: PRIVATE UNIVERSITIES,float64,1208,1192,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
86,Q201C_32,TRUST: CIVIL SERVICE/PUBLIC ADMINISTRATION,float64,1208,1192,5,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused""}",1.0,98.0
87,Q201C_32GCC,Workers in the Ministries,float64,0,2400,0,"{""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know"", ""1"": ""1. A great deal of trust"", ""2"": ""2. Quite a lot of trust"", ""3"": ""3. Not very much trust"", ""4"": ""4. No trust at all""}",,
88,Q201C_40,TRUST: DOMESTIC BUSINESS PEOPLE,float64,1208,1192,6,"{""1"": ""great trust"", ""2"": ""some trust"", ""3"": ""little trust"", ""4"": ""no trust"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know""}",1.0,99.0
89,Q513,EVALUATION: GOVERNMENT PERFORMANCE,float64,2400,0,14,"{""0"": ""dissatisfied"", ""10"": ""satisfied"", ""96"": ""not interested"", ""97"": ""not applicable"", ""98"": ""don't know"", ""99"": ""refused"", ""-9"": ""-9. Refusal"", ""-8"": ""-8. Don't Know"", ""1"": ""1."", ""2"": ""2."", ""3"": ""3."", ""4"": ""4."", ""5"": ""5."", ""6"": ""6."", ""7"": ""7."", ""8"": ""8."", ""9"": ""9.""}",0.0,99.0
